'Material Deprivation',Affordability,'Income Inequality','Community Environment Profile','Consumer Opportunity Profile','Economic Opportunity Profile','Population Churning',Education,'Job Participation','Employment Accessibility','Access to Care','Health Opportunity Index'
0.117961,0.185185,0.421053,0.449067,0.318961,0.225034,0.550891,0.603141,0.461,0.070458,0.442134,Bad
0.113677,0.044044,0.368286,0.460101,0.322702,0.245038,0.755725,0.648518,0.58,0.083125,0.498208,Bad
0.160384,0.254254,0.369501,0.543056,0.425979,0.283575,0.748092,0.650424,0.725,0.109868,0.469227,Bad
0.13998,0.109109,0.3278,0.466916,0.35241,0.235756,0.871501,0.655426,0.646,0.078543,0.458326,Bad
0.264758,0.344344,0.40108,0.323033,0.487743,0.151407,0.774809,0.645642,0.269,0.008022,0.274956,Bad
0.145306,0.74975,0.367072,0.430529,0.669596,0.164963,0.71374,0.663888,0.383,0.054054,0.328633,Bad
0.356143,0.385385,0.259379,0.58514,0.626078,0.22339,0.541985,0.793982,0.738,0.101801,0.509258,Bad
0.27867,0.376376,0.311741,0.345541,0.35904,0.221804,0.796438,0.665262,0.48,0.056832,0.238146,Bad
0.30756,0.087087,0.32807,0.477437,0.358534,0.254132,0.779898,0.685411,0.58,0.100455,0.509258,Bad
0.356,0.295295,0.299325,0.385548,0.492087,0.188116,0.655216,0.649836,0.541,0.039037,0.310633,Bad
0.319488,0.305305,0.196086,0.356928,0.550984,0.123068,0.86514,0.653722,0.484,0.017867,0.282347,Bad
0.162696,0.35035,0.311471,0.44234,0.464378,0.208708,0.834606,0.619793,0.481,0.078206,0.464126,Bad
0.313245,0.194194,0.483131,0.380576,0.314727,0.283537,0.671756,0.637658,0.532,0.074751,0.215165,Bad
0.096944,0.778779,0.309717,0.456075,0.604336,0.17819,0.847328,0.625075,0.45,0.046459,0.504689,Bad
0.173829,0.732733,0.28583,0.464771,0.378982,0.205881,0.564885,0.649094,0.523,0.02907,0.348758,Bad
0.266667,0.563564,0.419838,0.551909,0.562755,0.320665,0.254453,0.757601,0.792,0.123789,0.309915,Bad
0.26117,0.452452,0.358839,0.393568,0.605148,0.177763,0.739186,0.689131,0.508,0.01983,0.321564,Bad
0.270136,0.37037,0.432928,0.489266,0.497393,0.273435,0.666667,0.660317,0.605,0.082774,0.464126,Bad
0.080673,0.753754,0.275034,0.477497,0.593079,0.209338,0.732824,0.609407,0.541,0.0984,0.466355,Bad
0.239284,0.293293,0.379757,0.438389,0.352164,0.278448,0.778626,0.660048,0.619,0.075943,0.457019,Bad
