@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,13,15,17-19'

@attribute Rural~Urban numeric
@attribute Affordability numeric
@attribute 'Food Accessibility' numeric
@attribute 'Material Deprivation' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
1,0.466466,0.933302,0.178987,0.575642,0.340813,0.302329,Bad
1,0.083083,0.900525,0.284329,0.443298,0.248514,0.406858,Bad
1,0.172172,0.832548,0.188677,0.444608,0.277584,0.418548,Bad
1,0.345345,0.933302,0.33313,0.535917,0.26445,0.431222,Bad
1,0.325325,0.933302,0.156968,0.520916,0.306936,0.385232,Bad
1,0.419419,0.853685,0.327759,0.439003,0.233535,0.291678,Bad
1,0.323323,0.976116,0.12986,0.45532,0.300849,0.375045,Bad
1,0.578579,0.933302,0.298412,0.445678,0.138336,0.560891,Bad
1,0.113113,0.933302,0.314297,0.48372,0.306166,0.321972,Bad
1,0.255255,0.99997,0.145533,0.44239,0.243918,0.302573,Bad
1,0.423423,0.933302,0.069047,0.515475,0.357901,0.306662,Bad
1,0.827828,0.999503,0.016606,0.516211,0.166877,0.490354,Bad
1,0.274274,0.97934,0.201041,0.459465,0.274488,0.308441,Bad
1,0.433433,0.933302,0.198998,0.510568,0.288324,0.330733,Bad
1,0.396396,0.933302,0.360904,0.550615,0.265438,0.37023,Bad
1,0.104104,0.999224,0.190372,0.448995,0.244742,0.463696,Bad
1,0.403403,0.933302,0.161679,0.57856,0.30121,0.486319,Bad
1,0.512513,0.933302,0.364231,0.561852,0.21042,0.414861,Bad
1,0,0.898084,0.085685,0.44931,0.214953,0.776117,Bad
1,0.686687,0.933302,0.409967,0.702474,0.306217,0.290187,Bad
1,0.302302,0.933302,0.194274,0.476452,0.27773,0.399314,Bad
1,0.66967,0.899677,0.101649,0.475376,0.213931,0.416936,Bad
1,0.5996,0.975421,0.446343,0.410474,0.134119,0.267198,Bad
1,0.257257,0.908004,0.25905,0.446583,0.228048,0.392157,Bad
0,0.23023,0.9991,0.268664,0.360803,0.185078,0.333173,Bad
0,0.378378,0.942139,0.465079,0.352367,0.183761,0.224765,Bad
1,0.485485,0.933302,0.339266,0.495289,0.238366,0.379386,Bad
1,0.331331,0.93507,0.170381,0.373935,0.222443,0.211372,Bad
1,0.192192,0.68208,0.15196,0.365564,0.29286,0.327965,Bad
1,0.331331,0.925437,0.310079,0.410705,0.195618,0.450081,Bad
1,0.615616,0.933302,0.198106,0.520192,0.316641,0.388929,Bad
1,0.344344,0.933302,0.332837,0.531941,0.31615,0.367209,Bad
1,0.455455,0.933302,0.148816,0.530727,0.342769,0.289736,Bad
1,0.424424,0.998899,0.335045,0.443279,0.295042,0.318596,Bad
1,0.304304,0.933302,0.071783,0.457597,0.26251,0.39698,Bad
1,0.426426,0.997584,0.25837,0.523733,0.273948,0.330674,Bad
0,0.378378,0.981696,0.412369,0.255535,0.158188,0.120641,Bad
1,0.673674,0.933302,0.463536,0.585496,0.305023,0.313818,Bad
1,0.681682,0.942139,0.788828,0.275289,0.078181,0.315494,Bad
1,0.501502,0.584024,0.300422,0.357589,0.259217,0.362803,Bad
1,0.565566,1,0.384895,0.561117,0.20706,0.407756,Bad
1,0.295295,0.933302,0.214795,0.489657,0.272404,0.378698,Bad
1,0.515516,0.933302,0.347836,0.618232,0.310574,0.371369,Bad
1,0.352352,0.933302,0.303698,0.442886,0.255406,0.409295,Bad
1,0.630631,0.933302,0.314979,0.550733,0.294301,0.319052,Bad
0,0.387387,0.903277,0.366523,0.380899,0.216716,0.229462,Bad
1,0.682683,0.933302,0.093537,0.422649,0.185636,0.42706,Bad
1,0.33033,0.43279,0.188236,0.537087,0.309011,0.543882,Bad
1,0.428428,0.999788,0.367484,0.390048,0.256371,0.435942,Bad
0,0.254254,0.942139,0.384624,0.25985,0.188129,0.158523,Bad
0,0.314314,0.45303,0.325489,0.280285,0.273923,0.255181,Bad
1,0.536537,0.933302,0.23002,0.512449,0.308246,0.331036,Bad
1,0.308308,0.657984,0.257885,0.395499,0.324552,0.312106,Bad
1,0.188188,0.668897,0.083288,0.420778,0.27479,0.625313,Bad
0,0.452452,0.744879,0.350222,0.307416,0.210269,0.275609,Bad
0,0.487487,0.942139,0.40453,0.275727,0.164845,0.152914,Bad
1,0.379379,0.866418,0.479229,0.330902,0.231896,0.170252,Bad
0,0.357357,0.790711,0.322404,0.343714,0.251976,0.261403,Bad
1,0.3003,0.933302,0.266709,0.432713,0.261796,0.374654,Bad
0,0.404404,0.942139,0.366554,0.317342,0.145022,0.329333,Bad
1,0.66967,0.933302,0.378972,0.628319,0.284609,0.375355,Bad
1,0.257257,0.933302,0.242994,0.439541,0.253832,0.437014,Bad
0,0.513514,0.82257,0.262006,0.345513,0.240454,0.222191,Bad
1,0.388388,0.76005,0.253447,0.303806,0.220533,0.318616,Bad
1,0.39039,0.999495,0.188306,0.502108,0.308655,0.322172,Bad
1,0.540541,0.933302,0.248765,0.573851,0.348541,0.285452,Bad
1,0.406406,0.933302,0.192196,0.511965,0.311489,0.484421,Bad
1,0.36036,0.984469,0.331673,0.328373,0.214167,0.247842,Bad
0,0.468468,0.966312,0.36786,0.309059,0.198011,0.159464,Bad
1,0.572573,0.933302,0.379534,0.59162,0.247937,0.405099,Bad
0,0.361361,0.999586,0.357391,0.377834,0.131789,0.393142,Bad
1,0.358358,0.881799,0.144706,0.455522,0.343098,0.330662,Bad
0,0.515516,0.798598,0.288909,0.357461,0.245991,0.2314,Bad
1,0.281281,0.933302,0.256377,0.428199,0.273431,0.400232,Bad
1,0.419419,0.942139,0.240435,0.483668,0.330785,0.287285,Bad
1,0.242242,0.942139,0.374517,0.300323,0.240092,0.143761,Bad
1,0.349349,0.933302,0.249949,0.461828,0.145719,0.762448,Bad
0,0.23023,0.7424,0.391091,0.311345,0.214241,0.291966,Bad
1,0.256256,0.933302,0.10475,0.490592,0.33084,0.491964,Bad
0,0.302302,0.987444,0.408213,0.266243,0.170029,0.233435,Bad
1,0.50951,0.688156,0.343464,0.428898,0.250655,0.401155,Bad
1,0.183183,0.918368,0.209111,0.405588,0.242745,0.490475,Bad
0,0.382382,0.86471,0.376075,0.310409,0.22282,0.153979,Bad
1,0.422422,0.933302,0.275093,0.497293,0.317465,0.34712,Bad
1,0.436436,0.965018,0.245051,0.423828,0.226867,0.374975,Bad
1,0.4004,0.942139,0.480446,0.246562,0.171793,0.219192,Bad
1,0.474474,0.942139,0.372412,0.332966,0.250574,0.083017,Bad
0,0.402402,0.840053,0.23503,0.37147,0.260022,0.345279,Bad
0,0.378378,0.942139,0.417473,0.313949,0.18598,0.335496,Bad
1,0.262262,0.956723,0.157172,0.442888,0.279808,0.416428,Bad
1,0.466466,0.955528,0.539173,0.347114,0.195957,0.199894,Bad
1,0.608609,0.933302,0.345032,0.564123,0.321065,0.334082,Bad
1,0.591592,0.933302,0.275178,0.479626,0.221406,0.392585,Bad
1,0.61962,0.933302,0.305863,0.488698,0.264626,0.306298,Bad
1,0.079079,0.902586,0.296753,0.386709,0.270116,0.375795,Bad
1,0.341341,0.933302,0.241124,0.463276,0.338151,0.308527,Bad
1,0.654655,0.933302,0.415196,0.618721,0.370821,0.319684,Bad
1,0.653654,0.984697,0.495088,0.410181,0.128086,0.573449,Bad
1,0.67968,0.933302,0.369533,0.645253,0.326028,0.360191,Bad
1,0.39039,0.933302,0.307392,0.431928,0.223068,0.552841,Bad
1,0.435435,0.745829,0.362888,0.393463,0.288468,0.247567,Bad
1,0.221221,0.9735,0.171229,0.40186,0.279479,0.340329,Bad
1,0.348348,0.933302,0.256812,0.408586,0.287132,0.404732,Bad
1,0.335335,0.721933,0.264376,0.411769,0.30859,0.30662,Bad
1,0.528529,0.933302,0.445606,0.450919,0.223056,0.240798,Bad
1,0.516517,0.933302,0.314881,0.479141,0.303484,0.256008,Bad
1,0.397397,0.98065,0.269559,0.359901,0.234288,0.284725,Bad
1,0.208208,0.68804,0.122399,0.406002,0.309695,0.38541,Bad
1,0.504505,0.971066,0.444109,0.374933,0.212899,0.321559,Bad
0,0.358358,0.942139,0.361077,0.304686,0.207234,0.289301,Bad
1,0.477477,0.95727,0.297236,0.359834,0.244166,0.297737,Bad
1,0.684685,0.933302,0.286601,0.605626,0.31888,0.327289,Bad
0,0.389389,0.693886,0.281854,0.289267,0.238966,0.268793,Bad
0,0.334334,0.928025,0.477011,0.317238,0.227773,0.285767,Bad
1,0.365365,0.511469,0.466034,0.363553,0.3485,0.28037,Bad
1,0.367367,0.933302,0.16814,0.487477,0.338796,0.3811,Bad
1,0.087087,0.999189,0.196977,0.427432,0.262173,0.509777,Bad
1,0.4004,0.933302,0.237603,0.433383,0.341771,0.267325,Bad
1,0.338338,0.946679,0.376275,0.332615,0.196143,0.315582,Bad
1,0.393393,0.933302,0.220454,0.444653,0.301282,0.377296,Bad
1,0.492492,0.933302,0.376698,0.55917,0.355582,0.271703,Bad
1,0.467467,0.933302,0.265132,0.458533,0.366771,0.34539,Bad
1,0.67968,0.933302,0.13831,0.47529,0.257126,0.452115,Bad
0,0.409409,0.942139,0.401097,0.244199,0.169884,0.214708,Bad
1,0.394394,0.867621,0.22307,0.499068,0.361751,0.379387,Bad
0,0.309309,0.766438,0.227635,0.337562,0.278393,0.355873,Bad
1,0.314314,0.933302,0.192876,0.424904,0.299462,0.336176,Bad
1,0.677678,0.539682,0.137254,0.345477,0.24586,0.414707,Bad
1,0.474474,0.933302,0.32114,0.502865,0.345472,0.289059,Bad
0,0.176176,0.942139,0.388368,0.309389,0.204369,0.379088,Bad
1,0.486486,0.933302,0.171545,0.45041,0.280015,0.430661,Bad
1,0.336336,0.933302,0.325738,0.45269,0.313884,0.356052,Bad
1,0.462462,0.998505,0.41717,0.290776,0.177164,0.187152,Bad
1,0.717718,0.933302,0.43012,0.63296,0.275045,0.376835,Bad
1,0.561562,0.933302,0.285269,0.548912,0.275516,0.488609,Bad
1,0.673674,0.933302,0.341379,0.644756,0.356151,0.44546,Bad
1,0.24024,0.933302,0.049334,0.39644,0.237027,0.628248,Bad
1,0.263263,0.933302,0.28667,0.45482,0.349934,0.384568,Bad
1,0.444444,0.965851,0.372409,0.372226,0.223971,0.296578,Bad
1,0.451451,0.926032,0.175519,0.429606,0.287965,0.43402,Bad
0,0.431431,0.87415,0.34433,0.360533,0.266439,0.301671,Bad
