@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R13,4,6,15,9,16-18,10,7,19'

@attribute 'Material Deprivation' numeric
@attribute Affordability numeric
@attribute 'Population Churning' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Income Inequality' numeric
@attribute 'Consumer Opportunity Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Job Participation' numeric
@attribute Education numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
0.113677,0.044044,0.755725,0.460101,0.368286,0.322702,0.245038,0.467788,0.58,0.648518,Bad
0.160384,0.254254,0.748092,0.543056,0.369501,0.425979,0.283575,0.412922,0.725,0.650424,Bad
0.13998,0.109109,0.871501,0.466916,0.3278,0.35241,0.235756,0.393187,0.646,0.655426,Bad
0.264758,0.344344,0.774809,0.323033,0.40108,0.487743,0.151407,0.277673,0.269,0.645642,Bad
0.145306,0.74975,0.71374,0.430529,0.367072,0.669596,0.164963,0.217822,0.383,0.663888,Bad
0.356143,0.385385,0.541985,0.58514,0.259379,0.626078,0.22339,0.439072,0.738,0.793982,Bad
0.27867,0.376376,0.796438,0.345541,0.311741,0.35904,0.221804,0.182456,0.48,0.665262,Bad
0.30756,0.087087,0.779898,0.477437,0.32807,0.358534,0.254132,0.409392,0.58,0.685411,Bad
0.356,0.295295,0.655216,0.385548,0.299325,0.492087,0.188116,0.302971,0.541,0.649836,Bad
0.319488,0.305305,0.86514,0.356928,0.196086,0.550984,0.123068,0.339815,0.484,0.653722,Bad
0.162696,0.35035,0.834606,0.44234,0.311471,0.464378,0.208708,0.39677,0.481,0.619793,Bad
0.313245,0.194194,0.671756,0.380576,0.483131,0.314727,0.283537,0.159111,0.532,0.637658,Bad
0.096944,0.778779,0.847328,0.456075,0.309717,0.604336,0.17819,0.353134,0.45,0.625075,Bad
0.173829,0.732733,0.564885,0.464771,0.28583,0.378982,0.205881,0.513867,0.523,0.649094,Bad
0.266667,0.563564,0.254453,0.551909,0.419838,0.562755,0.320665,0.255426,0.792,0.757601,Bad
0.26117,0.452452,0.739186,0.393568,0.358839,0.605148,0.177763,0.255381,0.508,0.689131,Bad
0.270136,0.37037,0.666667,0.489266,0.432928,0.497393,0.273435,0.312527,0.605,0.660317,Bad
0.080673,0.753754,0.732824,0.477497,0.275034,0.593079,0.209338,0.333364,0.541,0.609407,Bad
0.239284,0.293293,0.778626,0.438389,0.379757,0.352164,0.278448,0.294941,0.619,0.660048,Bad
0.478641,0.352352,0.557252,0.483363,0.271255,0.691309,0.184586,0.313947,0.621,0.865895,Bad
0.126942,0.276276,0.69084,0.415743,0.409177,0.339729,0.25855,0.354789,0.549,0.64311,Bad
0.188401,0.111111,0.704835,0.445458,0.397706,0.161213,0.30613,0.45672,0.626,0.672267,Bad
0.133221,0.177177,0.736641,0.455029,0.463293,0.35548,0.284215,0.378002,0.607,0.623803,Bad
0.229645,0.072072,0.74173,0.386397,0.325641,0.37261,0.226648,0.335089,0.598,0.642397,Bad
0.130582,0.28028,0.821883,0.502282,0.440756,0.43766,0.268284,0.366299,0.627,0.663798,Bad
0.185402,0.656657,0.681934,0.384952,0.378947,0.377672,0.249829,0.22438,0.528,0.615745,Bad
0.346915,0.38038,0.820611,0.399739,0.236977,0.624114,0.171558,0.201401,0.53,0.733567,Bad
0.178987,0.466466,0.756997,0.575642,0.424291,0.482337,0.340813,0.302329,0.827,0.618928,Bad
0.284329,0.083083,0.917303,0.443298,0.369906,0.361439,0.248514,0.406858,0.511,0.611825,Bad
0.188677,0.172172,0.529262,0.444608,0.403374,0.303133,0.277584,0.418548,0.62,0.689942,Bad
0.33313,0.345345,0.734097,0.535917,0.309177,0.546855,0.26445,0.431222,0.645,0.71768,Bad
0.156968,0.325325,0.735369,0.520916,0.3861,0.417147,0.306936,0.385232,0.783,0.616292,Bad
0.327759,0.419419,0.530534,0.439003,0.337787,0.518445,0.233535,0.291678,0.65,0.744902,Bad
0.12986,0.323323,0.59542,0.45532,0.395682,0.340259,0.300849,0.375045,0.696,0.509887,Bad
0.298412,0.578579,0.479644,0.445678,0.291633,0.638545,0.138336,0.560891,0.343,0.743856,Bad
0.314297,0.113113,0.739186,0.48372,0.430229,0.402851,0.306166,0.321972,0.713,0.661626,Bad
0.145533,0.255255,0.832061,0.44239,0.37166,0.454614,0.243918,0.302573,0.648,0.652548,Bad
0.069047,0.423423,0.916031,0.515475,0.421592,0.365428,0.357901,0.306662,0.803,0.488547,Bad
0.016606,0.827828,0.818066,0.516211,0.360324,0.668734,0.166877,0.490354,0.507,0.596575,Bad
0.201041,0.274274,0.737913,0.459465,0.435628,0.424871,0.274488,0.308441,0.671,0.602679,Bad
0.198998,0.433433,0.548346,0.510568,0.384211,0.522453,0.288324,0.330733,0.786,0.713799,Bad
0.360904,0.396396,0.576336,0.550615,0.321457,0.594152,0.265438,0.37023,0.752,0.761554,Bad
0.190372,0.104104,0.712468,0.448995,0.360459,0.384707,0.244742,0.463696,0.635,0.632328,Bad
0.161679,0.403403,0.795165,0.57856,0.402294,0.51175,0.30121,0.486319,0.771,0.6896,Bad
0.364231,0.512513,0.610687,0.561852,0.233198,0.676771,0.21042,0.414861,0.695,0.791261,Bad
0.085685,0,0.564885,0.44931,0.305263,0.251218,0.214953,0.776117,0.572,0.650867,Bad
0.409967,0.686687,0.643766,0.702474,0.446559,0.811401,0.306217,0.290187,0.788,0.870149,Bad
0.194274,0.302302,0.666667,0.476452,0.346289,0.428409,0.27773,0.399314,0.651,0.657007,Bad
0.101649,0.66967,0.596692,0.475376,0.31498,0.556211,0.213931,0.416936,0.627,0.653233,Bad
0.446343,0.5996,0.633588,0.410474,0.27085,0.779855,0.134119,0.267198,0.43,0.847199,Bad
0.25905,0.257257,0.913486,0.446583,0.374629,0.48018,0.228048,0.392157,0.54,0.673509,Bad
0.268664,0.23023,0.751908,0.360803,0.332389,0.504667,0.185078,0.333173,0.566,0.699194,Bad
0.465079,0.378378,0.661578,0.352367,0.360189,0.605866,0.183761,0.224765,0.448,0.756889,Bad
0.339266,0.485485,0.597964,0.495289,0.351282,0.605643,0.238366,0.379386,0.597,0.73399,Bad
0.170381,0.331331,0.882952,0.373935,0.380162,0.433783,0.222443,0.211372,0.668,0.623619,Bad
0.15196,0.192192,0.935115,0.365564,0.469636,0.238718,0.29286,0.327965,0.522,0.626565,Bad
0.310079,0.331331,0.660305,0.410705,0.238731,0.546851,0.195618,0.450081,0.55,0.746282,Bad
0.198106,0.615616,0.826972,0.520192,0.466667,0.549137,0.316641,0.388929,0.762,0.56986,Bad
0.332837,0.344344,0.454198,0.531941,0.413225,0.494659,0.31615,0.367209,0.765,0.728318,Bad
0.148816,0.455455,0.762087,0.530727,0.466532,0.509173,0.342769,0.289736,0.838,0.686676,Bad
0.335045,0.424424,0.207379,0.443279,0.632524,0.508921,0.295042,0.318596,0.497,0.729827,Bad
0.071783,0.304304,0.889313,0.457597,0.372335,0.448636,0.26251,0.39698,0.697,0.674102,Bad
0.25837,0.426426,0.678117,0.523733,0.405938,0.589553,0.273948,0.330674,0.734,0.723876,Bad
0.412369,0.378378,0.975827,0.255535,0.370715,0.55925,0.158188,0.120641,0.404,0.614238,Bad
0.463536,0.673674,0.842239,0.585496,0.492443,0.830078,0.305023,0.313818,0.612,0.882433,Bad
0.788828,0.681682,0.552163,0.275289,0.265182,0.740735,0.078181,0.315494,0.08,0.620238,Bad
0.300422,0.501502,0.573791,0.357589,0.381781,0.371,0.259217,0.362803,0.443,0.729933,Bad
0.384895,0.565566,0.688295,0.561117,0.306478,0.799613,0.20706,0.407756,0.643,0.874759,Bad
0.214795,0.295295,0.768448,0.489657,0.390148,0.451689,0.272404,0.378698,0.714,0.663541,Bad
0.347836,0.515516,0.519084,0.618232,0.406478,0.666287,0.310574,0.371369,0.827,0.842097,Bad
0.303698,0.352352,0.687023,0.442886,0.402564,0.480039,0.255406,0.409295,0.553,0.650326,Bad
0.314979,0.630631,0.729008,0.550733,0.469366,0.700582,0.294301,0.319052,0.675,0.792922,Bad
0.366523,0.387387,0.835878,0.380899,0.345209,0.556847,0.216716,0.229462,0.602,0.722342,Bad
0.093537,0.682683,0.823155,0.422649,0.341026,0.609618,0.185636,0.42706,0.479,0.663291,Bad
0.188236,0.33033,0.704835,0.537087,0.425101,0.200089,0.309011,0.543882,0.735,0.699931,Bad
0.367484,0.428428,0.403308,0.390048,0.719838,0.543656,0.256371,0.435942,0.264,0.698743,Bad
0.384624,0.254254,0.96056,0.25985,0.393387,0.462768,0.188129,0.158523,0.447,0.627931,Bad
0.325489,0.314314,0.889313,0.280285,0.273549,0.171224,0.273923,0.255181,0.526,0.61352,Bad
0.23002,0.536537,0.70229,0.512449,0.384345,0.562007,0.308246,0.331036,0.787,0.677509,Bad
0.257885,0.308308,0.791349,0.395499,0.488259,0.291486,0.324552,0.312106,0.479,0.67069,Bad
0.083288,0.188188,0.792621,0.420778,0.383131,0.218259,0.27479,0.625313,0.523,0.660326,Bad
0.350222,0.452452,0.846056,0.307416,0.364642,0.462621,0.210269,0.275609,0.486,0.648075,Bad
0.40453,0.487487,0.877863,0.275727,0.360594,0.591907,0.164845,0.152914,0.454,0.650096,Bad
0.479229,0.379379,0.806616,0.330902,0.483671,0.50355,0.231896,0.170252,0.514,0.643611,Bad
0.322404,0.357357,0.765903,0.343714,0.420243,0.411725,0.251976,0.261403,0.479,0.677861,Bad
0.266709,0.3003,0.774809,0.432713,0.365317,0.481706,0.261796,0.374654,0.591,0.699562,Bad
0.366554,0.404404,0.933842,0.317342,0.239946,0.597987,0.145022,0.329333,0.515,0.663937,Bad
0.378972,0.66967,0.698473,0.628319,0.340891,0.81402,0.284609,0.375355,0.831,0.906173,Bad
0.242994,0.257257,0.854962,0.439541,0.418084,0.448026,0.253832,0.437014,0.562,0.651254,Bad
0.262006,0.513514,0.74173,0.345513,0.410661,0.467584,0.240454,0.222191,0.543,0.664499,Bad
0.253447,0.388388,0.811705,0.303806,0.395412,0.380035,0.220533,0.318616,0.48,0.642075,Bad
0.188306,0.39039,0.909669,0.502108,0.407152,0.548551,0.308655,0.322172,0.776,0.681569,Bad
0.248765,0.540541,0.553435,0.573851,0.476113,0.614132,0.348541,0.285452,0.842,0.817664,Bad
0.192196,0.406406,0.459288,0.511965,0.429825,0.437047,0.311489,0.484421,0.65,0.687401,Bad
0.331673,0.36036,0.755725,0.328373,0.405398,0.511181,0.214167,0.247842,0.576,0.639802,Bad
0.36786,0.468468,0.835878,0.309059,0.389204,0.581453,0.198011,0.159464,0.53,0.657218,Bad
0.379534,0.572573,0.676845,0.59162,0.316464,0.73911,0.247937,0.405099,0.785,0.843093,Bad
0.357391,0.361361,0.880407,0.377834,0.271255,0.611916,0.131789,0.393142,0.558,0.685181,Bad
0.144706,0.358358,0.568702,0.455522,0.483941,0.384984,0.343098,0.330662,0.775,0.664218,Bad
0.288909,0.515516,0.753181,0.357461,0.374494,0.472473,0.245991,0.2314,0.554,0.684334,Bad
0.256377,0.281281,0.79771,0.428199,0.446289,0.404844,0.273431,0.400232,0.56,0.591344,Bad
0.240435,0.419419,0.339695,0.483668,0.567341,0.496761,0.330785,0.287285,0.68,0.783596,Bad
0.374517,0.242242,0.937659,0.300323,0.389609,0.43438,0.240092,0.143761,0.484,0.624198,Bad
0.249949,0.349349,0.445293,0.461828,0.31417,0.612379,0.145719,0.762448,0.336,0.897397,Bad
0.391091,0.23023,0.926209,0.311345,0.206883,0.390448,0.214241,0.291966,0.523,0.696285,Bad
0.10475,0.256256,0.591603,0.490592,0.438596,0.38746,0.33084,0.491964,0.656,0.721267,Bad
0.408213,0.302302,0.935115,0.266243,0.300675,0.52456,0.170029,0.233435,0.491,0.609833,Bad
0.343464,0.50951,0.6743,0.428898,0.28583,0.498402,0.250655,0.401155,0.576,0.769403,Bad
0.209111,0.183183,0.824427,0.405588,0.324022,0.39889,0.242745,0.490475,0.611,0.664292,Bad
0.376075,0.382382,0.926209,0.310409,0.379082,0.517594,0.22282,0.153979,0.576,0.681683,Bad
0.275093,0.422422,0.59542,0.497293,0.453306,0.511772,0.317465,0.34712,0.678,0.737329,Bad
0.245051,0.436436,0.847328,0.423828,0.292173,0.562656,0.226867,0.374975,0.585,0.683217,Bad
0.480446,0.4004,0.861323,0.246562,0.446829,0.524126,0.171793,0.219192,0.256,0.605947,Bad
0.372412,0.474474,0.784987,0.332966,0.4278,0.553117,0.250574,0.083017,0.604,0.679479,Bad
0.23503,0.402402,0.727735,0.37147,0.40081,0.408536,0.260022,0.345279,0.518,0.653607,Bad
0.417473,0.378378,0.849873,0.313949,0.422537,0.554031,0.18598,0.335496,0.358,0.638445,Bad
0.157172,0.262262,0.796438,0.442888,0.363293,0.438046,0.279808,0.416428,0.667,0.682005,Bad
0.539173,0.466466,0.748092,0.347114,0.409312,0.641435,0.195957,0.199894,0.536,0.695876,Bad
0.345032,0.608609,0.872774,0.564123,0.518354,0.738001,0.321065,0.334082,0.722,0.83093,Bad
0.275178,0.591592,0.715013,0.479626,0.213495,0.680135,0.221406,0.392585,0.731,0.783612,Bad
0.305863,0.61962,0.805344,0.488698,0.430364,0.705204,0.264626,0.306298,0.616,0.802269,Bad
0.296753,0.079079,0.832061,0.386709,0.368151,0.367206,0.270116,0.375795,0.668,0.663377,Bad
0.241124,0.341341,0.645038,0.463276,0.513765,0.442831,0.338151,0.308527,0.683,0.697167,Bad
0.415196,0.654655,0.445293,0.618721,0.565722,0.728254,0.370821,0.319684,0.783,0.891523,Bad
0.495088,0.653654,0.395674,0.410181,0.280027,0.714962,0.128086,0.573449,0.432,0.724306,Bad
0.369533,0.67968,0.47201,0.645253,0.564372,0.765695,0.326028,0.360191,0.816,0.907046,Bad
0.307392,0.39039,0.517812,0.431928,0.42969,0.501199,0.223068,0.552841,0.489,0.690488,Bad
0.362888,0.435435,0.689567,0.393463,0.427395,0.439006,0.288468,0.247567,0.614,0.709902,Bad
0.171229,0.221221,0.881679,0.40186,0.42753,0.371645,0.279479,0.340329,0.648,0.574266,Bad
